Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney
IPL,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus
IPL,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,,,M Chinnaswamy Stadium,JD Cloete,PG Pathak
IPL,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Chennai Super Kings,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni
IPL,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi
IPL,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan
IPL,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak
IPL,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan
IPL,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Mumbai Indians,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni
IPL,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Rajasthan Royals,AM Rahane,Brabourne Stadium,HDPK Dharmasena,CB Gaffaney
IPL,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath
IPL,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders,UT Yadav,Eden Gardens,AK Chaudhary,M Erasmus
IPL,Mumbai,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,Mumbai Indians,Harbhajan Singh,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney
IPL,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni
IPL,Mumbai,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Sunrisers Hyderabad,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin
IPL,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Mumbai Indians,HH Pandya,"MA Chidambaram Stadium, Chepauk",CB Gaffaney,CK Nandan
IPL,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena
IPL,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,MC Henriques,Shaheed Veer Narayan Singh International Stadium,VA Kulkarni,S Ravi
IPL,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,AB de Villiers,Wankhede Stadium,JD Cloete,C Shamshuddin
IPL,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk",M Erasmus,CK Nandan
IPL,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena
IPL,Raipur,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni
IPL,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kings XI Punjab,AR Patel,"Punjab Cricket Association Stadium, Mohali",JD Cloete,C Shamshuddin
IPL,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,HH Pandya,Wankhede Stadium,RK Illingworth,VA Kulkarni
IPL,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,Royal Challengers Bangalore,V Kohli,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena
IPL,Chandigarh,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,Chennai Super Kings,P Negi,"Punjab Cricket Association Stadium, Mohali",CK Nandan,C Shamshuddin
IPL,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals,SR Watson,Brabourne Stadium,RM Deshpande,RK Illingworth
IPL,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,,,M Chinnaswamy Stadium,HDPK Dharmasena,K Srinivasan
IPL,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,Mumbai Indians,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,K Srinath
IPL,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth
IPL,Pune,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,AB de Villiers,Maharashtra Cricket Association Stadium,AK Chaudhary,C Shamshuddin
IPL,Ranchi,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,A Nehra,JSCA International Stadium Complex,AK Chaudhary,CB Gaffaney
IPL,Kolkata,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,RG Sharma,Eden Gardens,HDPK Dharmasena,RK Illingworth
IPL,Mumbai,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,normal,Rising Pune Supergiants,AM Rahane,Wankhede Stadium,HDPK Dharmasena,CK Nandan
IPL,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,S Ravi,C Shamshuddin
IPL,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,VA Kulkarni
IPL,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VK Sharma
IPL,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,RG Sharma,Eden Gardens,Nitin Menon,S Ravi
IPL,Rajkot,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,normal,Gujarat Lions,AJ Finch,Saurashtra Cricket Association Stadium,VA Kulkarni,CK Nandan
IPL,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin
IPL,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,Kolkata Knight Riders,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan
IPL,Mumbai,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,AJ Finch,Wankhede Stadium,HDPK Dharmasena,VK Sharma
IPL,Chandigarh,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,normal,Kings XI Punjab,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin
IPL,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,Q de Kock,M Chinnaswamy Stadium,VA Kulkarni,A Nand Kishore
IPL,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VK Sharma
IPL,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin
IPL,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,RG Sharma,Wankhede Stadium,AK Chaudhary,CK Nandan
IPL,Rajkot,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,B Kumar,Saurashtra Cricket Association Stadium,K Bharatan,HDPK Dharmasena
IPL,Pune,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,Royal Challengers Bangalore,AB de Villiers,Maharashtra Cricket Association Stadium,CB Gaffaney,VK Sharma
IPL,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,Delhi Daredevils,SV Samson,Feroz Shah Kotla,S Ravi,C Shamshuddin
IPL,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan
IPL,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,normal,Gujarat Lions,V Kohli,Saurashtra Cricket Association Stadium,K Bharatan,BNJ Oxenford
IPL,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,SA Yadav,Maharashtra Cricket Association Stadium,CB Gaffaney,A Nand Kishore
IPL,Chandigarh,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,Mumbai Indians,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,RJ Tucker
IPL,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,Rising Pune Supergiants,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,CK Nandan
IPL,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Gujarat Lions,CH Morris,Feroz Shah Kotla,M Erasmus,S Ravi
IPL,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,RG Sharma,Wankhede Stadium,Nitin Menon,RJ Tucker
IPL,Pune,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,DR Smith,Maharashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford
IPL,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Delhi Daredevils,CR Brathwaite,Feroz Shah Kotla,KN Ananthapadmanabhan,M Erasmus
IPL,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena
IPL,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Kings XI Punjab,AR Patel,Saurashtra Cricket Association Stadium,BNJ Oxenford,VK Sharma
IPL,Pune,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,RG Sharma,Maharashtra Cricket Association Stadium,AY Dandekar,RJ Tucker
IPL,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi
IPL,Rajkot,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,RR Pant,Saurashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford
IPL,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena
IPL,Delhi,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,Rising Pune Supergiants,AM Rahane,Feroz Shah Kotla,C Shamshuddin,RJ Tucker
IPL,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal",M Erasmus,S Ravi
IPL,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium,CB Gaffaney,BNJ Oxenford
IPL,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Kings XI Punjab,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",HDPK Dharmasena,CK Nandan
IPL,Visakhapatnam,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,Sunrisers Hyderabad,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi,C Shamshuddin
IPL,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,P Kumar,Eden Gardens,M Erasmus,RJ Tucker
IPL,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,HDPK Dharmasena
IPL,Visakhapatnam,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma
IPL,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,KH Pandya,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin
IPL,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,CH Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus
IPL,Visakhapatnam,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Kings XI Punjab,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,CK Nandan
IPL,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium,AY Dandekar,VK Sharma
IPL,Kolkata,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,normal,Kolkata Knight Riders,YK Pathan,Eden Gardens,A Nand Kishore,BNJ Oxenford
IPL,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,Sunrisers Hyderabad,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",KN Ananthapadmanabhan,M Erasmus
IPL,Visakhapatnam,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,CK Nandan
IPL,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,V Kohli,Eden Gardens,CB Gaffaney,A Nand Kishore
IPL,Visakhapatnam,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,Rising Pune Supergiants,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,C Shamshuddin
IPL,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium,KN Ananthapadmanabhan,M Erasmus
IPL,Kanpur,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,DR Smith,Green Park,AK Chaudhary,CK Nandan
IPL,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,KK Nair,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford
IPL,Visakhapatnam,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,bat,normal,Rising Pune Supergiants,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,Nitin Menon
IPL,Kanpur,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,SK Raina,Green Park,AK Chaudhary,CK Nandan
IPL,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders,YK Pathan,Eden Gardens,KN Ananthapadmanabhan,M Erasmus
IPL,Raipur,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,V Kohli,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford
IPL,Bangalore,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium,AK Chaudhary,HDPK Dharmasena
IPL,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad,MC Henriques,Feroz Shah Kotla,M Erasmus,C Shamshuddin
IPL,Delhi,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,DA Warner,Feroz Shah Kotla,M Erasmus,CK Nandan
IPL,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,BCJ Cutting,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford
IPL,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,DJ Bravo,Wankhede Stadium,Chris Gaffaney,A Nanda Kishore
IPL,Mohali,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rod Tucker,K Ananthapadmanabhan
IPL,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,SP Narine,Eden Gardens,C Shamshuddin,A.D Deshmukh
IPL,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Nigel Llong,Vineet Kulkarni
IPL,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,SW Billings,"MA Chidambaram Stadium, Chepauk",Anil Chaudhary,Chris Gaffaney
IPL,Jaipur,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Rajasthan Royals,SV Samson,Sawai Mansingh Stadium,K Ananthapadmanabhan,Rod Tucker
IPL,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",O Nandan,Nigel Llong
IPL,Bengaluru,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,UT Yadav,M Chinnaswamy Stadium,S Ravi,A.D Deshmukh
IPL,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,JJ Roy,Wankhede Stadium,K Ananthapadmanabhan,Nitin Menon
IPL,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,B Stanlake,Eden Gardens,A Nanda Kishore,Anil Chaudhary
IPL,Bengaluru,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rajasthan Royals,SV Samson,M Chinnaswamy Stadium,C Shamshuddin,S Ravi
IPL,Mohali,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,Kings XI Punjab,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",Vineet Kulkarni,O Nandan
IPL,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,Kolkata Knight Riders,N Rana,Eden Gardens,Anil Chaudhary,A Nanda Kishore
IPL,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,RG Sharma,Wankhede Stadium,Rod Tucker,Nitin Menon
IPL,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,N Rana,Sawai Mansingh Stadium,S Ravi,A.D Deshmukh
IPL,Mohali,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,Kings XI Punjab,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nigel Llong,Anil Chaudhary
IPL,Pune,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Chennai Super Kings,SR Watson,Maharashtra Cricket Association Stadium,Nitin Menon,K Ananthapadmanabhan
IPL,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,KL Rahul,Eden Gardens,C Shamshuddin,A.D Deshmukh
IPL,Bengaluru,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium,Chris Gaffaney,O Nandan
IPL,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Chennai Super Kings,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",Anil Chaudhary,Vineet Kulkarni
IPL,Jaipur,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Rajasthan Royals,J Archer,Sawai Mansingh Stadium,Rod Tucker,K Ananthapadmanabhan
IPL,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Kings XI Punjab,AS Rajpoot,Feroz Shah Kotla,O Nandan,A Nanda Kishore
IPL,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,Sunrisers Hyderabad,Rashid Khan,Wankhede Stadium,C Shamshuddin,S Ravi
IPL,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,Nigel Llong,Virender Kumar Sharma
IPL,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,AS Rajpoot,"Rajiv Gandhi International Stadium, Uppal",O Nandan,Yeshwant Barde
IPL,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Delhi Daredevils,SS Iyer,Feroz Shah Kotla,C Shamshuddin,S Ravi
IPL,Pune,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,RG Sharma,Maharashtra Cricket Association Stadium,Chris Gaffaney,Nitin Menon
IPL,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,KS Williamson,Sawai Mansingh Stadium,Bruce Oxenford,A Nanda Kishore
IPL,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,CA Lynn,M Chinnaswamy Stadium,Nigel Llong,Anil Chaudhary
IPL,Pune,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,Chennai Super Kings,SR Watson,Maharashtra Cricket Association Stadium,C Shamshuddin,Anil Dandekar
IPL,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Royal Challengers Bangalore,TG Southee,M Chinnaswamy Stadium,Marais Erasmus,Nitin Menon
IPL,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,Delhi Daredevils,RR Pant,Feroz Shah Kotla,O Nandan,Virender Kumar Sharma
IPL,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,SP Narine,Eden Gardens,Kumar Dharmasena,A.D Deshmukh
IPL,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,AS Yadav,Holkar Cricket Stadium,S Ravi,Anil Dandekar
IPL,Pune,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,RA Jadeja,Maharashtra Cricket Association Stadium,Nitin Menon,Yeshwant Barde
IPL,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,Sunrisers Hyderabad,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Bruce Oxenford,O Nandan
IPL,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,HH Pandya,Wankhede Stadium,Kumar Dharmasena,A.D Deshmukh
IPL,Indore,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,M Ur Rahman,Holkar Cricket Stadium,C Shamshuddin,S Ravi
IPL,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Bruce Oxenford,Virender Kumar Sharma
IPL,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,normal,Rajasthan Royals,JC Buttler,Sawai Mansingh Stadium,Marais Erasmus,Nitin Menon
IPL,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,Ishan Kishan,Eden Gardens,Anil Chaudhary,K Ananthapadmanabhan
IPL,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,Sunrisers Hyderabad,S Dhawan,Feroz Shah Kotla,C Shamshuddin,Anil Dandekar
IPL,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Rajasthan Royals,JC Buttler,Sawai Mansingh Stadium,Marais Erasmus,Yeshwant Barde
IPL,Indore,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,Kolkata Knight Riders,SP Narine,Holkar Cricket Stadium,O Nandan,Virender Kumar Sharma
IPL,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,AB de Villiers,Feroz Shah Kotla,Kumar Dharmasena,Anil Chaudhary
IPL,Pune,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,AT Rayudu,Maharashtra Cricket Association Stadium,Marais Erasmus,Yeshwant Barde
IPL,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,JC Buttler,Wankhede Stadium,Nitin Menon,S Ravi
