Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Jaipur,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker
IPL,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi
IPL,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Chennai Super Kings,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong
IPL,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi
IPL,Pune,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani
IPL,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Royal Challengers Bangalore,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath
IPL,Pune,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,Mumbai Indians,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary
IPL,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker
IPL,Ranchi,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath
IPL,Jaipur,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan
IPL,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath
IPL,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,Mumbai Indians,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel
IPL,Ranchi,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Pune Warriors,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath
IPL,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Chennai Super Kings,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker
IPL,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani
IPL,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong
IPL,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary
IPL,Dharamsala,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan
IPL,Pune,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,Pune Warriors,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel
IPL,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker
IPL,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,Sunrisers Hyderabad,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani
IPL,Delhi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Chennai Super Kings,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker
IPL,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,Rajasthan Royals,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker
IPL,Kolkata,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,Mumbai Indians,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel
IPL,Kolkata,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel
IPL,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth
IPL,Sharjah,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi
IPL,Abu Dhabi,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Kings XI Punjab,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin
IPL,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth
IPL,,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary
IPL,,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Delhi Daredevils,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni
IPL,Sharjah,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus
IPL,Abu Dhabi,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Chennai Super Kings,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin
IPL,Sharjah,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kings XI Punjab,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi
IPL,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Chennai Super Kings,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth
IPL,Sharjah,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni
IPL,,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi
IPL,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Chennai Super Kings,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus
IPL,Abu Dhabi,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin
IPL,Abu Dhabi,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kings XI Punjab,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth
IPL,Sharjah,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,Delhi Daredevils,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni
IPL,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,Chennai Super Kings,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni
IPL,,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi
IPL,Abu Dhabi,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,Rajasthan Royals,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary
IPL,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,Sunrisers Hyderabad,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus
IPL,Ranchi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Chennai Super Kings,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong
IPL,Mumbai,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,Mumbai Indians,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin
IPL,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi
IPL,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni
IPL,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Rajasthan Royals,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan
IPL,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford
IPL,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,RG Sharma,Wankhede Stadium,S Ravi,K Srinath
IPL,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Kolkata Knight Riders,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin
